,website,url,total_views
0,Google,https://www.google.com,520726795305.0
1,YouTube,https://www.youtube.com,235813192004.0
2,Facebook,https://www.facebook.com,223015726428.0
3,Yahoo,https://www.yahoo.com,125654442849.0
4,Wikipedia,https://www.wikipedia.com,44673637102.0
5,Baidu,"https://www.baidu.com",44097593606.0
6,Twitter,https://www.twitter.com,30986763501.0
7,Yandex,https://www.yandex.com,28579800000.0
8,Instagram,https://www.instagram.com,26215196370.0
9,AOL,https://www.aol.com,23212320843.0
