id,product_id,product_name,units_sold,price_paid,customer_name
0,2692,Handcrafted Ball,7,291.69,Jennifer Buckley
1,2423,Generic Tuna,7,101.57,Paige Frazier
2,4742,Tasty Concrete Mouse,10,67.7,Jesse Schroeder
3,7187,For repair Chicken,4,1.52,Veronica Mccoy
4,131,Small Rubber Computer,10,290.8,Barbara Rose
5,3609,Rustic Towels,2,82.58,Michelle Smith
6,2911,Used Rubber Chicken,7,90.79,Tanya Evans
7,6479,New Granite Ball,8,51.04,Nathaniel Vincent
8,6895,Gorgeous Plastic Fish,6,23.52,Nathaniel Wood
9,3947,Small Wooden Mouse,1,32.8,Rachel Morales
10,3078,Handmade Wooden Bacon,5,127.9,Beverly Bullock
11,7035,Used Cotton Pizza,2,34.92,Mary Wolf
12,780,Incredible Wooden Computer,3,137.43,Christina Huang
13,4076,Licensed Rubber Tuna,3,31.26,Anthony Gordon
14,5249,Intelligent Soap,8,193.28,Douglas Davidson
15,3046,Fantastic Pants,6,88.44,Yolanda Bernard
16,4181,New Metal Computer,10,60.1,Janice Cook
17,7166,Awesome Plastic Bike,9,436.05,Phillip Delgado
18,1599,For repair Car,9,82.26,Tyler Cooper
19,4052,Awesome Rubber Car,3,118.02,Maria Barnett
20,374,Granite Chips,9,243.63,Dean Zimmerman
21,9361,Handmade Rubber Pants,4,154.0,Melinda Cooper
22,5283,Concrete Table,1,20.05,Jeremy Murphy
23,8665,Metal Pants,3,46.65,Stephanie Serrano
24,8210,Awesome Bacon,9,207.81,Karen Moore
25,963,Intelligent Soft Bacon,10,80.5,Ronald Chambers
26,9698,Licensed Salad,10,349.2,Laura Hunter
27,3868,Granite Towels,10,463.6,Nicole Moore
28,1727,Rubber Soap,5,192.0,Michael Davis
29,4486,Keyboard,5,117.7,Larry Bell
30,9302,Gorgeous Plastic Hat,6,57.24,Bryan Allen
31,5985,Intelligent Concrete Bacon,5,70.7,Jackie Shah
32,8546,Used Rubber Ball,4,29.44,Timothy Shaw
33,3639,Small Keyboard,8,6.72,Michael Cole
34,5266,Generic Pizza,8,232.88,James Young
35,7463,Sleek Frozen Hat,7,280.91,Shelley Barr
36,4970,Concrete Tuna,9,232.2,Andrea Jensen
37,8914,New Cheese,6,254.52,Angela Collins
38,4251,Practical Steel Table,3,139.05,Dylan Galvan
39,3609,Rustic Towels,7,289.03,Kevin Lewis
40,6444,For repair Cotton Car,10,332.9,John Soto
41,2816,Used Chair,8,8.32,Matthew Whitney
42,9926,Generic Steel Chips,4,90.4,Brian Rivers
43,9264,Ergonomic Steel Towels,1,33.77,Rebecca Barnes
44,4469,Unbranded Frozen Gloves,8,369.28,Amanda Cooper
45,3030,Metal Fish,6,42.66,Christopher Walker
46,3297,Handcrafted Frozen Chair,9,390.69,Valerie Ross
47,9436,Practical Ball,10,412.3,Wesley Marsh
48,7244,Gently Used Granite Keyboard,3,125.88,Kristen Collins
49,6960,Gently Used Frozen Sausages,2,46.34,Mr. Brian Moran
