,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ara97741,amy.adams@univ.edu,1,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,10,8,11,12,9,0.87,0.74,0.76,0.7297297297297297,0.7413769841269842,0.7413769841269842,0.7297297297297297,0.7324318818436466,0.7324318818436466,0.7477803582038876,75.0,C
cxa22039,christina.allen@univ.edu,1,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,8,14,12,14,10,0.6,0.7,0.67,0.8324324324324325,0.8304246031746032,0.8324324324324325,0.8324324324324325,0.8398573975044563,0.8398573975044563,0.7854301922243099,79.0,C
lxb98047,lucas.baldwin@univ.edu,1,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,11,12,10,9,7,0.83,0.74,0.97,0.8567567567567568,0.8462301587301588,0.8567567567567568,0.8567567567567568,0.7212503183091419,0.8567567567567568,0.8607297297297298,87.0,B
wxb12345,woody.barrera_jr@univ.edu,1,Woody,Barrera,55.0,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100,10,7,10,11,4,0.86,0.62,0.9,0.8081081081081081,0.799404761904762,0.8081081081081081,0.8081081081081081,0.6021390374331551,0.8081081081081081,0.8056756756756757,81.0,B
jxb40799,john.bauer@univ.edu,1,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,8,9,7,13,4,0.64,0.88,0.92,0.8432432432432433,0.8376507936507936,0.8432432432432433,0.8432432432432433,0.5809065444359562,0.8432432432432433,0.8482702702702705,85.0,B
djb29817,david.beck@univ.edu,1,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,7,12,7,7,4,0.91,0.74,0.65,0.7283783783783784,0.7377579365079365,0.7377579365079365,0.7283783783783784,0.5365087853323148,0.7283783783783784,0.7306166881166882,74.0,C
rjb91830,richard.bennett@univ.edu,1,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,10,8,6,9,10,0.66,0.97,0.88,0.8297297297297297,0.8275079365079365,0.8297297297297297,0.8297297297297297,0.6486529157117393,0.8297297297297297,0.8428108108108108,85.0,B
cxd92501,cameron.dennis@univ.edu,1,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,4,5,6,13,4,0.88,0.66,0.68,0.7810810810810811,0.7869087301587301,0.7869087301587301,0.7810810810810811,0.4437636872930991,0.7810810810810811,0.7610878163878164,77.0,C
eed42850,emily.dudley@univ.edu,1,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,9,9,9,8,5,0.96,0.73,0.76,0.8054054054054054,0.7975436507936509,0.8054054054054054,0.8054054054054054,0.5835981665393429,0.8054054054054054,0.7987837837837838,80.0,B
exd72538,erin.duffy@univ.edu,1,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,10,5,12,14,9,0.85,0.92,0.88,0.7324324324324324,0.740436507936508,0.740436507936508,0.7324324324324324,0.7264374840845429,0.7324324324324324,0.7824043329043329,79.0,C
rge65208,richard.elliott@univ.edu,1,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,12,11,13,17,6,0.66,0.64,0.74,0.754054054054054,0.7507103174603175,0.754054054054054,0.754054054054054,0.8395670995670995,0.8395670995670995,0.7614917514917515,77.0,C
kxf45205,katelyn.faulkner@univ.edu,1,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,6,14,12,17,6,0.68,0.6,0.61,0.8081081081081081,0.8019484126984127,0.8081081081081081,0.8081081081081081,0.7690909090909092,0.8081081081081081,0.7511756756756757,76.0,C
txf41578,tommy.foster@univ.edu,1,Tommy,Foster,49.0,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100,9,10,9,7,9,0.78,0.88,0.65,0.7743243243243243,0.7660674603174602,0.7743243243243243,0.7743243243243243,0.6588464476699771,0.7743243243243243,0.766527027027027,77.0,C
jag55224,jessica.garza@univ.edu,1,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,10,11,8,16,8,0.9,0.79,0.62,0.8040540540540541,0.8120912698412699,0.8120912698412699,0.8040540540540541,0.764166030048383,0.8040540540540541,0.7830527241527242,79.0,C
mjg41514,matthew.gonzalez@univ.edu,1,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,12,11,6,16,7,0.78,0.73,0.6,0.8202702702702702,0.8291865079365079,0.8291865079365079,0.8202702702702702,0.7526508785332314,0.8202702702702702,0.7797556842556843,78.0,C
cxg21963,cynthia.guzman@univ.edu,1,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,7,10,15,14,6,0.64,0.74,0.66,0.7405405405405405,0.7515119047619048,0.7515119047619048,0.7405405405405405,0.7333206009676598,0.7405405405405405,0.7277669240669241,73.0,C
jlh15029,john.harris@univ.edu,1,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,12,6,14,12,9,0.91,0.9,0.95,0.8621621621621621,0.8596666666666668,0.8621621621621621,0.8621621621621621,0.7771937866055513,0.8621621621621621,0.8815135135135135,89.0,B
cxh80084,colleen.hart@univ.edu,1,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,7,9,6,17,6,0.68,0.72,0.62,0.7567567567567568,0.7604722222222222,0.7604722222222222,0.7567567567567568,0.6343290043290043,0.7567567567567568,0.730215915915916,74.0,C
thh29195,taylor.hernandez@univ.edu,1,Taylor,Hernandez,54.0,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100,9,5,12,14,11,0.92,0.83,0.98,0.7391891891891892,0.7420674603174603,0.7420674603174603,0.7391891891891892,0.7461344537815127,0.7461344537815127,0.7966673202614378,80.0,B
edh14938,emily.houston@univ.edu,1,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,11,5,9,17,8,1.0,0.78,0.87,0.7581081081081081,0.7662936507936509,0.7662936507936509,0.7581081081081081,0.7202164502164502,0.7581081081081081,0.7924498927498929,80.0,B
bch39598,brett.hunt@univ.edu,1,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,12,7,11,16,4,0.85,0.72,0.89,0.8162162162162162,0.8178214285714285,0.8178214285714285,0.8162162162162162,0.7076292335115865,0.8162162162162162,0.8199934362934362,82.0,B
dcj14616,daniel.jones@univ.edu,1,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,10,7,8,11,8,0.79,0.68,0.61,0.8094594594594594,0.7947777777777778,0.8094594594594594,0.8094594594594594,0.6481996434937611,0.8094594594594594,0.7656216216216216,77.0,C
