,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 2,Quiz 4,Quiz 1,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Overall Homework,Homework Score,Total Quizzes,Overall Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
fca72843,frank.alvarez@univ.edu,2,Frank,Alvarez,72,80,71,90,61,100,56,70,52,80,75,100,60,60,84,90,67,80,54,70,66,100,74,100,76,100,9,8,12,10,6,0.66,0.74,0.76,0.7951219512195122,0.8041150793650795,0.8041150793650795,0.7951219512195122,0.5782485625829279,0.7951219512195122,0.7811826171118854,79.0,C
rxa49288,regina.andrews@univ.edu,2,Regina,Andrews,71,80,90,90,84,100,59,70,76,80,65,100,47,60,77,90,65,80,56,70,97,100,66,100,78,100,6,7,10,6,8,0.97,0.66,0.78,0.8414634146341463,0.8421746031746032,0.8421746031746032,0.8414634146341463,0.48918472652218775,0.8414634146341463,0.8208088656600852,83.0,B
snb66725,shirley.baker@univ.edu,2,Shirley,Baker,60,80,56,90,79,100,70,70,65,80,68,100,56,60,56,90,51,80,44,70,96,100,63,100,90,100,9,10,12,17,7,0.96,0.63,0.9,0.7378048780487805,0.7476349206349207,0.7476349206349207,0.7378048780487805,0.7058395989974937,0.7378048780487805,0.7663954316686024,77.0,C
kkb81325,kevin.ball@univ.edu,2,Kevin,Ball,51,80,67,90,99,100,51,70,58,80,66,100,57,60,76,90,64,80,50,70,74,100,80,100,74,100,10,8,17,8,5,0.74,0.8,0.74,0.7792682926829269,0.779424603174603,0.779424603174603,0.7792682926829269,0.604017396432257,0.7792682926829269,0.7735503290747193,78.0,C
dcb52984,dustin.barker@univ.edu,2,Dustin,Barker,63,80,88,90,81,100,62,70,53,80,92,100,37,60,54,90,76,80,56,70,87,100,83,100,68,100,13,11,16,12,7,0.87,0.83,0.68,0.8073170731707318,0.8010158730158731,0.8073170731707318,0.8073170731707318,0.7567403803626714,0.8073170731707318,0.7936219512195123,80.0,B
jcb92767,joseph.boyle@univ.edu,2,Joseph,Boyle,64,80,76,90,97,100,55,70,63,80,73,100,60,60,69,90,60,80,43,70,77,100,77,100,88,100,14,5,10,9,8,0.77,0.77,0.88,0.8048780487804879,0.804861111111111,0.8048780487804879,0.8048780487804879,0.6025740822644847,0.8048780487804879,0.8109146341463416,82.0,B
axb88556,amber.bryan@univ.edu,2,Amber,Bryan,48,80,78,90,95,100,49,70,75,80,97,100,48,60,83,90,78,80,46,70,78,100,86,100,89,100,8,8,17,12,7,0.78,0.86,0.89,0.85,0.8378531746031745,0.85,0.85,0.6577428866283356,0.85,0.8535000000000001,86.0,B
ktc98359,kayla.calhoun@univ.edu,2,Kayla,Calhoun,69,80,58,90,70,100,47,70,60,80,91,100,50,60,64,90,74,80,47,70,60,100,97,100,74,100,8,7,12,17,6,0.6,0.97,0.74,0.7682926829268293,0.7679246031746032,0.7682926829268293,0.7682926829268293,0.6329824561403509,0.7682926829268293,0.7758048780487805,78.0,C
rcc31571,rebecca.campbell@univ.edu,2,Rebecca,Campbell,55,80,62,90,83,100,49,70,48,80,77,100,41,60,80,90,50,80,70,70,92,100,80,100,98,100,7,5,7,12,6,0.92,0.8,0.98,0.75,0.747361111111111,0.75,0.75,0.4796225858764559,0.75,0.798,80.0,B
tjc58773,tracy.carter@univ.edu,2,Tracy,Carter,80,80,60,90,65,100,43,70,48,80,100,100,38,60,58,90,50,80,62,70,77,100,63,100,98,100,14,5,19,15,5,0.77,0.63,0.98,0.7365853658536585,0.7319444444444445,0.7365853658536585,0.7365853658536585,0.7178991596638656,0.7365853658536585,0.7641097560975609,77.0,C
exc86480,evan.clark@univ.edu,2,Evan,Clark,76,80,86,90,74,100,69,70,63,80,93,100,38,60,63,90,55,80,45,70,98,100,63,100,81,100,14,13,13,13,9,0.98,0.63,0.81,0.8073170731707318,0.8012460317460317,0.8073170731707318,0.8073170731707318,0.8121642341146986,0.8121642341146986,0.8000760995027023,81.0,B
cxc57535,carolyn.coleman@univ.edu,2,Carolyn,Coleman,55,80,56,90,97,100,60,70,61,80,60,100,58,60,64,90,56,80,65,70,81,100,61,100,93,100,8,5,8,7,12,0.81,0.61,0.93,0.7707317073170732,0.7805714285714286,0.7805714285714286,0.7707317073170732,0.5446587055874981,0.7707317073170732,0.7844480836236933,79.0,C
