First Name,Last Name,SID,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time
Aaron,Lester,axl60952,68.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,89,100,2019-09-19 08:56:02-07:00,51,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,48,70,2019-10-17 08:56:02-07:00,42,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,79,100,2019-10-08 12:30:07-07:00,63,100,2019-11-08 12:30:07-07:00,68,100,2019-12-08 12:30:07-07:00
Adam,Cooper,amc28428,80.0,80,2019-08-29 08:56:02-07:00,78,80,2019-09-05 08:56:02-07:00,78,80,2019-09-12 08:56:02-07:00,87,100,2019-09-19 08:56:02-07:00,65,70,2019-09-26 08:56:02-07:00,55,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,44,70,2019-10-17 08:56:02-07:00,45,60,2019-10-24 08:56:02-07:00,53,60,2019-10-31 08:56:02-07:00,65,100,2019-10-08 12:30:07-07:00,63,100,2019-11-08 12:30:07-07:00,90,100,2019-12-08 12:30:07-07:00
Alec,Curry,axc64717,69.0,80,2019-08-29 08:56:02-07:00,76,80,2019-09-05 08:56:02-07:00,66,80,2019-09-12 08:56:02-07:00,87,100,2019-09-19 08:56:02-07:00,59,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,43,50,2019-10-10 08:56:02-07:00,65,70,2019-10-17 08:56:02-07:00,58,60,2019-10-24 08:56:02-07:00,42,60,2019-10-31 08:56:02-07:00,65,100,2019-10-08 12:30:07-07:00,78,100,2019-11-08 12:30:07-07:00,83,100,2019-12-08 12:30:07-07:00
Alexander,Rodriguez,akr14831,50.0,80,2019-08-29 08:56:02-07:00,54,80,2019-09-05 08:56:02-07:00,74,80,2019-09-12 08:56:02-07:00,75,100,2019-09-19 08:56:02-07:00,54,70,2019-09-26 08:56:02-07:00,59,90,2019-10-03 08:56:02-07:00,38,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,38,60,2019-10-24 08:56:02-07:00,47,60,2019-10-31 08:56:02-07:00,97,100,2019-10-08 12:30:07-07:00,97,100,2019-11-08 12:30:07-07:00,81,100,2019-12-08 12:30:07-07:00
Amber,Daniels,axd11293,54.0,80,2019-08-29 08:56:02-07:00,57,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,95,100,2019-09-19 08:56:02-07:00,47,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,58,70,2019-10-17 08:56:02-07:00,46,60,2019-10-24 08:56:02-07:00,59,60,2019-10-31 08:56:02-07:00,68,100,2019-10-08 12:30:07-07:00,95,100,2019-11-08 12:30:07-07:00,88,100,2019-12-08 12:30:07-07:00
Amy,Adams,ara97741,49.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,78,100,2019-09-19 08:56:02-07:00,46,70,2019-09-26 08:56:02-07:00,59,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,58,70,2019-10-17 08:56:02-07:00,39,60,2019-10-24 08:56:02-07:00,54,60,2019-10-31 08:56:02-07:00,87,100,2019-10-08 12:30:07-07:00,74,100,2019-11-08 12:30:07-07:00,76,100,2019-12-08 12:30:07-07:00
Amy,White,alw07647,71.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,72,80,2019-09-12 08:56:02-07:00,95,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,40,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,47,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,99,100,2019-10-08 12:30:07-07:00,95,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00
Amy,Dunn,axd67070,72.0,80,2019-08-29 08:56:02-07:00,61,80,2019-09-05 08:56:02-07:00,50,80,2019-09-12 08:56:02-07:00,90,100,2019-09-19 08:56:02-07:00,47,70,2019-09-26 08:56:02-07:00,72,90,2019-10-03 08:56:02-07:00,43,50,2019-10-10 08:56:02-07:00,49,70,2019-10-17 08:56:02-07:00,48,60,2019-10-24 08:56:02-07:00,50,60,2019-10-31 08:56:02-07:00,93,100,2019-10-08 12:30:07-07:00,96,100,2019-11-08 12:30:07-07:00,86,100,2019-12-08 12:30:07-07:00
Amy,Terry,ajt73762,71.0,80,2019-08-29 08:56:02-07:00,54,80,2019-09-05 08:56:02-07:00,76,80,2019-09-12 08:56:02-07:00,93,100,2019-09-19 08:56:02-07:00,43,70,2019-09-26 08:56:02-07:00,89,90,2019-10-03 08:56:02-07:00,30,50,2019-10-10 08:56:02-07:00,58,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,49,60,2019-10-31 08:56:02-07:00,60,100,2019-10-08 12:30:07-07:00,81,100,2019-11-08 12:30:07-07:00,79,100,2019-12-08 12:30:07-07:00
Andrea,Smith,aes07091,80.0,80,2019-08-29 08:56:02-07:00,71,80,2019-09-05 08:56:02-07:00,61,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,61,70,2019-09-26 08:56:02-07:00,79,90,2019-10-03 08:56:02-07:00,47,50,2019-10-10 08:56:02-07:00,62,70,2019-10-17 08:56:02-07:00,43,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,66,100,2019-10-08 12:30:07-07:00,97,100,2019-11-08 12:30:07-07:00,86,100,2019-12-08 12:30:07-07:00
