Last Name,First Name,Email,Grade
Joyce,Traci,traci.joyce@univ.edu,4
Carter,Tyler,tyler.carter@univ.edu,8
Rice,Catherine,catherine.rice@univ.edu,6
Hayes,William,william.hayes@univ.edu,8
Huynh,Sandra,sandra.huynh@univ.edu,7
Craig,Darryl,darryl.craig@univ.edu,10
Mcdaniel,James,james.mcdaniel@univ.edu,4
Nichols,William,william.nichols@univ.edu,8
Smith,Nicholas,nicholas.smith@univ.edu,12
Howe,Kathleen,kathleen.howe@univ.edu,4
Wallace,Brett,brett.wallace@univ.edu,8
Li,Anna,anna.li@univ.edu,10
Carroll,Jeanne,jeanne.carroll@univ.edu,10
Martinez,Nicholas,nicholas.martinez@univ.edu,11
Ward,Jordan,jordan.ward@univ.edu,11
Jackson,Sarah,sarah.jackson@univ.edu,12
Alexander,Melissa,melissa.alexander@univ.edu,7
Cannon,Tanya,tanya.cannon@univ.edu,8
Haas,Jonathan,jonathan.haas@univ.edu,7
Crawford,Carrie,carrie.crawford@univ.edu,5
Thomas,William,william.thomas@univ.edu,10
Harris,Jeremy,jeremy.harris@univ.edu,8
Bates,Lynn,lynn.bates@univ.edu,9
Robinson,Erin,erin.robinson@univ.edu,5
Miller,Amanda,amanda.miller@univ.edu,10
Barajas,Terri,terri.barajas@univ.edu,9
Harris,Eric,eric.harris@univ.edu,4
Murray,Adam,adam.murray@univ.edu,12
Ward,Molly,molly.ward@univ.edu,4
Randolph,Jessica,jessica.randolph@univ.edu,6
Barajas,Lisa,lisa.barajas@univ.edu,9
Wright,Angela,angela.wright@univ.edu,12
Horn,Angela,angela.horn@univ.edu,4
Huang,Sean,sean.huang@univ.edu,7
Santana,Daniel,daniel.santana@univ.edu,12
Bennett,Aaron,aaron.bennett@univ.edu,5
Rodriguez,Donald,donald.rodriguez@univ.edu,6
Solis,Tracy,tracy.solis@univ.edu,4
Brown,Sean,sean.brown@univ.edu,4
Pierce,Jodi,jodi.pierce@univ.edu,7
Hawkins,Catherine,catherine.hawkins@univ.edu,4
Cline,Laura,laura.cline@univ.edu,9
West,Charles,charles.west@univ.edu,6
Bonilla,Kyle,kyle.bonilla@univ.edu,10
Kennedy,Larry,larry.kennedy@univ.edu,4
Bishop,Hunter,hunter.bishop@univ.edu,8
Arellano,Brett,brett.arellano@univ.edu,4
Washington,Erin,erin.washington@univ.edu,5
Vargas,Sabrina,sabrina.vargas@univ.edu,4
Aguilar,Rhonda,rhonda.aguilar@univ.edu,6
Wright,Cynthia,cynthia.wright@univ.edu,4
Newton,Lisa,lisa.newton@univ.edu,5
Fisher,Karla,karla.fisher@univ.edu,7
Cline,Steven,steven.cline@univ.edu,6
Jackson,Mario,mario.jackson@univ.edu,4
Hopkins,Andrea,andrea.hopkins@univ.edu,12
Garcia,Cynthia,cynthia.garcia@univ.edu,9
Savage,Julia,julia.savage@univ.edu,8
Chapman,Joshua,joshua.chapman@univ.edu,10
Benjamin,Stephen,stephen.benjamin@univ.edu,7
Erickson,David,david.erickson@univ.edu,10
Jones,Carrie,carrie.jones@univ.edu,10
Mills,Rhonda,rhonda.mills@univ.edu,6
Barrera,Woody,woody.barrera_jr@univ.edu,10
Jones,Eric,eric.jones@univ.edu,5
Grimes,George,george.grimes@univ.edu,7
Fisher,Mark,mark.fisher@univ.edu,10
Johnson,Virginia,virginia.johnson@univ.edu,9
Miller,Jessica,jessica.miller@univ.edu,5
Foster,Christopher,christopher.foster@univ.edu,9
Allen,Robin,robin.allen@univ.edu,12
Combs,John,john.combs@univ.edu,11
Phillips,Tammy,tammy.phillips@univ.edu,7
Lewis,Michael,michael.lewis@univ.edu,11
Campbell,Billy,billy.campbell@univ.edu,11
Flower,John,john.g.2.flower@univ.edu,5
Nguyen,Courtney,courtney.nguyen@univ.edu,9
Cross,William,william.cross@univ.edu,7
Ford,Thomas,thomas.ford@univ.edu,4
Bishop,Steven,steven.bishop@univ.edu,7
Baker,Jeffrey,jeffrey.baker@univ.edu,4
