ID,Name,NetID,Email Address,Section
1234567,"Barrera Jr., Woody",WXB12345,WOODY.BARRERA_JR@UNIV.EDU,1
2345678,"Lambert, Malaika",MXL12345,MALAIKA.LAMBERT@UNIV.EDU,2
3456789,"Joyce, Traci",TXJ12345,TRACI.JOYCE@UNIV.EDU,1
4567890,"Flower, John Gregg",JGF12345,JOHN.G.2.FLOWER@UNIV.EDU,3
9911707,"White, Cynthia David",CDW96437,CYNTHIA.WHITE@UNIV.EDU,2
2138291,"Aguilar, Mark",MXA47023,MARK.AGUILAR@UNIV.EDU,1
5649668,"Mayo, Glen",GXM22704,GLEN.MAYO@UNIV.EDU,2
1845740,"Hunt, Stephen James",SJH25091,STEPHEN.HUNT@UNIV.EDU,2
8024603,"Grimes, Wendy",WXG24610,WENDY.GRIMES@UNIV.EDU,1
6533922,"Romero, Amanda",AXR08019,AMANDA.ROMERO@UNIV.EDU,2
5919313,"Calhoun, Kayla Taylor",KTC98359,KAYLA.CALHOUN@UNIV.EDU,2
5257259,"Collins, Dale Alex",DAC97943,DALE.COLLINS@UNIV.EDU,2
7396708,"Kelley, Elijah",EXK57025,ELIJAH.KELLEY@UNIV.EDU,2
1617252,"Moody, Lindsey",LXM81451,LINDSEY.MOODY@UNIV.EDU,2
2545223,"Montgomery, Michele",MXM41463,MICHELE.MONTGOMERY@UNIV.EDU,2
8483250,"Coleman, Carolyn",CXC57535,CAROLYN.COLEMAN@UNIV.EDU,2
5275516,"Woods, David",DXW73637,DAVID.WOODS@UNIV.EDU,1
1346996,"Brooks, John Diane",JDB98926,JOHN.BROOKS@UNIV.EDU,3
6376327,"Clark, Evan",EXC86480,EVAN.CLARK@UNIV.EDU,2
2591052,"Snow, Jill Bradley",JBS87071,JILL.SNOW@UNIV.EDU,1
2681014,"Smith, Samuel Travis",STS26331,SAMUEL.SMITH@UNIV.EDU,3
5178208,"Webb, Allison",AXW95038,ALLISON.WEBB@UNIV.EDU,1
3010940,"Holder, Seth Michelle",SMH42958,SETH.HOLDER@UNIV.EDU,2
7843765,"Harper, Oscar David",ODH20673,OSCAR.HARPER@UNIV.EDU,2
7530202,"Andrews, Regina",RXA49288,REGINA.ANDREWS@UNIV.EDU,2
8226760,"Marquez, Daniel Jesse",DJM17798,DANIEL.MARQUEZ@UNIV.EDU,3
4903894,"Miller, Scott",SXM55911,SCOTT.MILLER@UNIV.EDU,1
4766306,"Dodson, Jeffrey",JXD62343,JEFFREY.DODSON@UNIV.EDU,3
5255654,"Johnson, Morgan Jennifer",MJJ08941,MORGAN.JOHNSON@UNIV.EDU,2
3055341,"Webb, Matthew",MXW03199,MATTHEW.WEBB@UNIV.EDU,1
6765924,"Fisher, Logan Wesley",LWF83017,LOGAN.FISHER@UNIV.EDU,2
7345500,"Martinez, Anna",AXM10128,ANNA.MARTINEZ@UNIV.EDU,3
9308440,"Owen, Jacob",JXO56485,JACOB.OWEN@UNIV.EDU,2
8225494,"Merritt, Courtney Brian",CBM65054,COURTNEY.MERRITT@UNIV.EDU,3
6604917,"Mills, David Lisa",DLM01981,DAVID.MILLS@UNIV.EDU,2
4078431,"Kennedy, Scott Leslie",SLK20468,SCOTT.KENNEDY@UNIV.EDU,3
6799621,"Stanton, Joan Gregory",JGS53909,JOAN.STANTON@UNIV.EDU,2
9955774,"Ball, Kevin Kim",KKB81325,KEVIN.BALL@UNIV.EDU,2
3739825,"Kemp, Loretta",LXK30019,LORETTA.KEMP@UNIV.EDU,1
3769204,"Campbell, Rebecca Cathy",RCC31571,REBECCA.CAMPBELL@UNIV.EDU,2
1431857,"Walker, Mary David",MDW32884,MARY.WALKER@UNIV.EDU,1
3141527,"Morgan, Jeffery Oscar",JOM34632,JEFFERY.MORGAN@UNIV.EDU,1
8486491,"Lindsey, Connie",CXL39661,CONNIE.LINDSEY@UNIV.EDU,2
6355352,"White, Teresa",TXW79416,TERESA.WHITE@UNIV.EDU,1
3168707,"Boyle, Joseph Chad",JCB92767,JOSEPH.BOYLE@UNIV.EDU,2
9159148,"Barnes, Paula",PXB07058,PAULA.BARNES@UNIV.EDU,1
9266041,"Mata, David Kevin",DKM02469,DAVID.MATA@UNIV.EDU,2
3823010,"Lopez, James",JXL44805,JAMES.LOPEZ@UNIV.EDU,1
6591876,"Wiley, Cassidy Michelle",CMW10194,CASSIDY.WILEY@UNIV.EDU,3
1167409,"Baker, Shirley Natalie",SNB66725,SHIRLEY.BAKER@UNIV.EDU,2
3236199,"Galloway, Renee Danielle",RDG22239,RENEE.GALLOWAY@UNIV.EDU,3
9516379,"Clayton, Lisa",LXC26636,LISA.CLAYTON@UNIV.EDU,3
2794190,"Jimenez, Donald",DXJ35707,DONALD.JIMENEZ@UNIV.EDU,2
8671286,"Alvarez, Frank Christina",FCA72843,FRANK.ALVAREZ@UNIV.EDU,2
3440972,"Berger, Karen Kristen",KKB64217,KAREN.BERGER@UNIV.EDU,3
2147281,"Sullivan, Jason Jennifer",JJS13923,JASON.SULLIVAN@UNIV.EDU,1
1060157,"Patterson, Emily Dawn",EDP69888,EMILY.PATTERSON@UNIV.EDU,1
4191866,"Glover, Dana Samuel",DSG23096,DANA.GLOVER@UNIV.EDU,2
9060536,"Williams, Joshua Victoria",JVW76422,JOSHUA.WILLIAMS@UNIV.EDU,3
3473195,"Smith, Lindsay Brandi",LBS84451,LINDSAY.SMITH@UNIV.EDU,2
9692695,"Perry, Scott",SXP35257,SCOTT.PERRY@UNIV.EDU,1
6341847,"Perez, Aaron",AXP80486,AARON.PEREZ@UNIV.EDU,1
4664683,"Ramsey, Tina Kenneth",TKR50524,TINA.RAMSEY@UNIV.EDU,3
9409398,"Bryan, Amber",AXB88556,AMBER.BRYAN@UNIV.EDU,2
8282915,"Robinson, Michael Matthew",MMR50420,MICHAEL.ROBINSON@UNIV.EDU,2
9723687,"Jones, Joanne",JXJ47860,JOANNE.JONES@UNIV.EDU,2
2667669,"Harding, Morgan Paul",MPH95540,MORGAN.HARDING@UNIV.EDU,3
1319322,"Marsh, Corey Dan",CDM65295,COREY.MARSH@UNIV.EDU,2
1656808,"Carter, Tracy James",TJC58773,TRACY.CARTER@UNIV.EDU,2
