order_number,employee_id,employee_name,job_title,sales_region,order_date,order_type,customer_type,customer_name,customer_state,product_category,product_number,produce_name,quantity,unit_price,sale_price
1102935,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/02/2019,Retail,Individual,Skipton Fealty,Arkansas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,45,135
1102976,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,15/02/2019,Retail,Individual,Lanni D'Ambrogi,Missouri,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,19.5,19.5
1102988,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,16/02/2019,Retail,Individual,Far Pow,Mississippi,Olive Oil,OO302,Chili Extra Virgin Olive Oil,4,26,104
1103012,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/02/2019,Wholesale,Business,Swift Inc,Texas,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,234,936
1103031,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/02/2019,Retail,Individual,Carmine Priestnall,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,234,702
1103106,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/03/2019,Retail,Individual,Tann Angear,Oklahoma,Bath products,BP502,Vanilla and Olive Oil Candle,2,6.99,13.98
1103113,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/03/2019,Wholesale,Business,Hilll Group,Texas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,5,45,225
1103172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,18/03/2019,Retail,Individual,Devlin Nock,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,4,45,180
1103175,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/03/2019,Retail,Individual,Jerrilyn Doubrava,Missouri,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,3,26,78
1103240,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/03/2019,Retail,Individual,Skipton Fealty,Arkansas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1103282,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,03/04/2019,Retail,Individual,Devlin Nock,Texas,Bath products,BP105,Lavender and Olive Oil Lotion,4,9.99,39.96
1103312,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,07/04/2019,Retail,Individual,Granny Matevosian,Missouri,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,5.99,5.99
1103348,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/04/2019,Retail,Individual,Dean Wharin,Oklahoma,Olive Oil,OO205,Rosemary Extra Virgin Olive Oil 2pk,1,45,45
1103367,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/04/2019,Retail,Individual,Zonnya Machon,Arkansas,Bath products,BP503,Vanilla and Olive Oil Bar Soap,3,5.99,17.97
1103462,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/04/2019,Retail,Individual,Skippie Anthill,Texas,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,123,246
